Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Term_Years,log_CIHR_Contribution,Year
"Guta, Adrian",University of Windsor (Ontario),Travel Awards - Institute Community Support,201701ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,"""A lot of the hospital staff will treat these guys like garbage"": The healthcare provider perspective about what leads to discharges against medical advice by people living with HIV who use substances",1500,0,1 yr 0 mth ,1.0,7.313886831633462,2017
"Blair, Karen L",St. Francis Xavier University (Nova Scotia),Planning and Dissemination Grant - Institute Community Support,201702PCS,Planning and Dissemination - IPPH - Social Science for Population Health,"""And with your hands, your hearts."" Investigating the health implications of public displays of affection in mixed-sex, same-sex, and gender diverse romantic relationships.",17933,0,1 yr 0 mth ,1.0,9.794453631511994,2017
"Khan, Selim M",University of Calgary,Fellowship - PA - Research & Knowledge Translation on Urban Housing and Health,202012RAT,Health Research Training B - HP,"""Application of Artificial Intelligence in Evaluation of Radon Health Risk in Urban vs Rural houses of Canada and Sweden."" This interdisciplinary research will apply predictive machine learning algorithms and geospatial intelligence to assess, predict and conduct time-series (1940-2020) analyses of public health risk from exposure to indoor radon, map out the causative patterns as the functions of built structural, environmental and human behavioural factors in urban vs rural houses in Canada and Sweden and generate evidence to support a healthy housing design.",45000,0,2 yrs 0 mth ,0.0,10.714439990727769,2020
"Stewart, Sherry H",Dalhousie University (Nova Scotia),CIHR Café Scientifique Program,201205SCI,CIHR Café Scientifique Program,"""Bad"" Girls: Mad or Sad?",3000,0,1 yr 0 mth ,1.0,8.006700845440367,2012
"Snowdon, Anne W; Howard, Andrew W",University of Windsor (Ontario),Team Grant: Strategic Teams in Applied Injury Research - Full application,200912TIR,Strategic Team in Applied Injury Research,"""CIHR Team in Traffic and Road Injury Prevention (TRIP)Program for Canadian Children""",600000,0,5 yrs 0 mth ,0.0,13.304686600863562,2009
"Webkamigad, Sharlene C",Laurentian University of Sudbury,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - B,"""Gchi'aya'ag Anishinabeg Endaayad"" Developing an Anishinabek model of an age-and-dementia friendly community with the Atikameksheng Anishnawbek: A phenomenography study.",105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2019
"Cossman, Brenda",University of Toronto,CIHR Café Scientifique Program,201106SCI,CIHR Café Scientifique Program,"""Gender Dysphoria"": Treating and Supporting Transgender Youth",3000,0,1 yr 0 mth ,1.0,8.006700845440367,2011
"Jardine, Cynthia; Erasmus, Margaret",University of The Fraser Valley (BC),Project Grant,202403PJT,Indigenous Health Research,"""Giving the Gift to Each Other"": Implementing Indigenized Forum Theatre for Mental Wellness",504900,0,2 yrs 0 mth ,0.0,13.132117649435262,2024
"Brown, Helen J",University of British Columbia,Catalyst Grant: Indigenous Approaches to Wellness Research,201701IAW,Indigenous Approaches to Wellness Research,"""Helping our men inside"": Integrating Tsilhqot'in approaches to wellness and healing to improve a prison-Indigenous community partnership through community based participatory research",140995,0,0 yr 1 mth ,0.08333333333333333,11.856486800163577,2017
"Foulds, Heather",University of Saskatchewan,Project Grant,202003PJT,Indigenous Health Research,"""I Always Hit My Goal When I Dance"" - Health Impacts of Métis Dancing",1071000,0,5 yrs 0 mth ,0.0,13.884104283136265,2020
