Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
Myths About Cancer,"['Brazas, Michelle D']",['N/A'],"['Cancer', 'Cell Phones', 'Familial Genetics', 'Hereditary Risk', 'Myths', 'Second-Hand Smoking']",3000.0,288228,"When it comes to difficult, complex topics like cancer, myths abound. Cancer researchers frequently field questions and public inquires on cancer and many such myths surrounding cancer. 

This Cafe Scientifique series aims to directly address some of the more common cancer myths around familial genetics and the risk of inheriting cancer, second hand smoking as a cause of cancer, and cell phone usage and risk of brain cancer. By providing public opportunities for dialogue and learning around topics of importance in cancer, this proposal aims to debunk the common myths about cancer."
"Prevent, Prevent, Prevent - What is Happening in Cancer Prevention?","['Brazas, Michelle D']",['N/A'],"['Anti-Smoking', 'Cancer', 'Cancer Prevention', 'Diet', 'Exercise', 'Health And Well-Being', 'Uv Radiation Protection', 'Vaccines Against Infectious Agents']",3000.0,263488,"Cancer as a disease will affect one in four Canadians. While much research effort and discussion has occurred around improved diagnostic techniques, earlier detection and better, safer and more effective cancer therapies, little discussion takes place around cancer prevention. Yet cancer prevention remains the cornerstone to avoiding patient anxiety and costly health care strategies that follow a cancer diagnosis. Which cancers can be prevented? Are there common prevention strategies for all cancers? How do prevention strategies reduce risk? Is cancer prevention really possible?

Our Café Scientifique series will engage members of the public in conversations about cancer prevention strategies which are of central importance to all Canadians. The proposed series of Café Scientifiques entitled 'Prevent, Prevent, Prevent - What is Happening in Cancer Prevention?' will explore topics in cancer prevention. Cancer prevention topics selected for discussion include commonly known prevention strategies (i.e. UV radiation protection and healthy eating and exercise) as well as lesser-known prevention strategies (i.e. vaccine prevention of infections). With such a high incidence rate of cancer, there is a need to openly communicate on cancer issues. Through this series of open dialogues, members of the public will explore viable cancer prevention strategies with our expert panelists."
"A study to determine what categories of ideations correlate most strongly with depressive symptoms following traumatic, musculo-skeletal disability.","['Breen, Jonathon S']",['N/A'],"['Adjustment Counselling', 'Depression', 'Disability', 'Injured Workers', 'Longitudinal Study', 'Participatory Action Research', 'Social Media', 'Trauma']",105000.0,327817,"Symptoms of depression are strongly correlated with trauma-based disability. In a recent Canadian study of 201 patients with spinal cord injury, 28.9% were treated for depression within six years of injury. It is well established that depression, following an acquired disability, is a significant barrier to successful Return To Work (RTW). My study will record the disability-related thoughts and feelings, or ideations, of injured workers. I will compare them, by category, to depression levels over the period of the study. 
By exploring these relationships, I will learn what categories of disability-related life experience, as represented by these ideations, are of most significance for counsellors and other health professionals to consider and explore when developing RTW plans with injured workers. 
To accomplish this goal, I will recruit 36 participants through the Workers Compensation Boards in BC, Alberta, Yukon and the NWT. For 12 months, I will gather daily data from each participant through the use of smart phones with a dedicated app designed to allow for easy input and coding. Each participant will log in to the app on their phone and check off what disability-related ideations have occupied them over the course of that day. These will include categories described as major life issues by the World Health Organization such as employment, transportation, housing, transportation and mobility, family and social relationships, and recreation. 
The frequency and intensity of these categories will be compared to depression levels that will be rated through the completion of monthly self-administered questionnaires by each participant.
This research will be the first longitudinal study to gather disability-related ideations on an ongoing, real-time basis. By eliminating the confounding factors associated with long-term memory recall found in studies based on paper questionnaires, more accurate data will be available to assist injured workers return to work."
The Health of Canadian Caregivers: Using administrative health services data to understand the determinants of the health of caregivers of children with chronic health problems.,"['Brehaut, Jamie C', 'Kohen, Dafna E']","['Arim, Rubab G', 'Brownell, Marni D', 'Garner, Rochelle E', 'Lach, Lucyna M', 'McGrail, Kimberlyn M', 'Miller, Anton R', 'Rosenbaum, Peter L']","['Administrative Data', 'Caregiver Health', 'Child Health', 'Longitudinal Analysis']",349699.0,190460,"Parents caring for children with health problems face tremendous demands on their time, energy and financial resources. Such demands can be associated with poorer health among the caregivers themselves. These health effects are not limited to caregivers of the most seriously disabled children, but instead may occur in over 25% of all caregivers. The current study will be the first to study the vast amounts of routinely-collected health care administrative data to address this important public health issue. We will use data from the British Columbia and Manitoba health care systems to address several objectives: 1) How can we categorize good and poor child health using these data? 2) How can we measure differences in the health of caregiver groups using these data? 3) How does caregiver health change over time, before and after individual life events such as birth of a child with a health problem? 4) Is the complexity of caregiving (the number of doctor's visits, number of medications the child uses, etc.) related to caregiver health? This study brings an established, multidisciplinary team together to develop a new approach to understanding caregiver health and to better inform what services and policies will best address the needs of caregivers of children with health problems."
Targeting misinformation-associated health behaviours: Using the tools of implementation science.,"['Brehaut, Jamie C', 'Presseau, Justin']","['Colquhoun, Heather', 'Graham, Ian D', 'McCleary, Nicola', 'Nicholls, Stuart G', 'Patey, Andrea M', 'Taljaard, Monica', 'Weijer, Charles E']","['Ethics', 'Implementation Science', 'Misinformation', 'Mixed Methods', 'Public Health', 'Public Health Interventions', 'Scoping Review']",983024.0,501111,"Misinformation worsens public health in many ways, from reducing vaccination rates to preventing people from seeking life-saving cancer treatments, and has be argued to attack the very fabric of a democratic society. Efforts to combat health misinformation have mostly focused on providing people with better information or helping them to identify misinformation. Such approaches focus primarily on the information itself. Implementation science can bring new approaches to this effort, such as evidence about how to change behaviours, using specific rather than general change strategies, and engaging patients in the design of change strategies. Our proposed work will bring these new ideas to bear on the problem of misinformation in public health and health care, use new methods to assemble relevant expert knowledge and understand ethics challenges of combating misinformation, and design new misinformation-combating tools based on implementation science, behavioural theory, and real-world experience. This work will enable partner organisations specifically, and public health organisations more broadly, to be more systematic and effective in their efforts to reduce the effects of misinformation and improve public health."
"Understanding cannabis use by Canadian Veterans and its impact on their health, well-being and quality of life","['Bremault-Phillips, Suzette C', 'Heber, Alexandra', 'Snaterse, Mark', 'Cao, Bo', 'Greenshaw, Andrew J', 'Sevigny, Phillip', 'Zhang, Yanbo']","['Bélanger, Stéphanie A', 'Hines, Anthony G', 'Jetly, Rakesh', 'Agyapong, Vincent O', 'Burback, Lisa', 'Carleton, R. Nicholas', 'Clelland, Steven R', 'Ferguson-Pell, Martin W', 'Greiner, Russ', 'Hayward, Jake', 'Hodgins, David C', 'Hosseiny, Fardous', 'Jones, Chelsea L', 'Li, Xin-Min', 'MacMaster, Frank P', 'Smith, Patrick', 'Tait, Caroline L', 'Wells, Kristopher']","['Cannabis', 'Mental Health', 'Veterans']",,441621,"Since the Cannabis Act of October 2018, we know little about medical vs. recreational cannabis use among Canadian Veterans. For those receiving funding for medical cannabis use, data on benefits and harms to themselves and their families is lacking. Collaborating with Veterans Affairs Canada (VAC), based on de-identified administrative data, we will examine amounts and types of medical and recreational use products by Veterans in relation to conditions for which they were pensioned, providing for the first time, basic information about intensity of use and potential clinical impact  among Veterans. Determining proportions of heavy, moderate and mild level users, the blend of medicinal vs recreational cannabis products used, and any clear correlation with class of provision of VAC benefits (e.g., disability allowance or pension type), we will provide a basic framework for examining Veterans' cannabis use. We will recruit Canadian Veterans into a mixed methods study through internet study-site accessed self-report measures for assessment of mental health profiles (past and current physical and mental health diagnoses, clinical treatment participation, amounts and types of products consumed and whether cannabis was from medical or recreational use sources). We will explore perceived benefits and adverse effects of type, source and amount/dose of cannabis in relation to perceived benefit/harm to Veterans and others in relationship with them. Internet-based study site data will be examined and compared with data from encrypted Zoom interviews/focus groups with Veterans, clinicians, policy- and decision-makers. With our KT partners, we plan to inform Veterans of findings by accessible language and appropriate media; providing policy makers, social and health support stakeholders with details arising from this work. The results will be essential for supporting Veterans' needs in the context of risks/ benefits of cannabis use moving forward in a legal use context in Canada."
Differences in motor milestone attainment in 4- and 5-year old children at risk for Developmental Coordination Disorder,"['Bremer, Emily']",['N/A'],['Ics Travel Awards'],1000.0,324425,"Attaining motor milestones such as sitting, standing, and walking are important aspects of a child's overall motor development. Children who achieve these milestones at an earlier age may be provided with more movement opportunities and practice, which could result in improved movement proficiency in childhood. Children with developmental coordination disorder (DCD) experience significant movement difficulties; however, it is not well understood when, developmentally, children with DCD begin to fall behind their peers with typical development. The purpose of this study was to examine the average age that motor milestones were attained in children at risk for DCD (DCDr) and children with typical development. The relationship between average age of motor milestone attainment and current level of motor coordination was also examined. The motor coordination of 4-5 year old children was assessed with a standardized motor assessment; children were classified as DCDr or typical development based on their assessment score. The children's parents provided information regarding the age that their child achieved critical motor milestones. Statistical tests were used to examine group differences between the average age the motor milestones were achieved, as well as the relationship between age of motor milestone attainment and motor coordination scores. The results suggest that children with DCDr achieve motor milestones such as sitting, crawling, and walking at a later age than children with typical development; however, they often still achieve these milestones within typical time frames. We also found that children who achieve their motor milestones earlier may be more likely to have better motor coordination in early childhood. These results can help to support early identification and intervention strategies for children who may be at risk of movement difficulties, such as DCD."
Finding the right tests: Measurement of fitness in children with autism spectrum disorder,"['Bremer, Emily']",['N/A'],"['Autism Spectrum Disorder', 'Children', 'Feasibility', 'Measurement', 'Physical Fitness', 'Reliability', 'Validity']",105000.0,347937,"Children with Autism Spectrum Disorder (ASD) have impaired communication, social, and behavioural skills. Research shows that they are also less physically fit than other children. Yet, the fitness measures used in these studies have not been proven to be suitable for children with ASD. Therefore, the possibility of measurement error complicates both the interpretation of these results and the planning of future research. The purpose of this study is to examine the feasibility, reliability, and validity of seven tests of fitness in 8-10 year old children with ASD to identify the assessment(s) best suited to this population. Children with ASD 8-10 years of age (n=58) will be invited to participate and each child will visit the lab four times over an 8-week period. Visit 1 will provide the child with an opportunity to become familiar with the lab. Visit 2 will assess a range of factors (e.g. movement skills, body composition, behaviour) that are known to be related to fitness in children with ASD. Visits 3-4 will assess aspects of physical fitness including muscular strength, muscular power, flexibility, aerobic functioning, and anaerobic functioning. A random subset of participants (n=25) will be asked to return to the lab for an additional two visits to determine test-retest reliability of the fitness assessments. The feasibility of conducting each fitness test will be assessed with a brief questionnaire completed by the participant and assessor, respectively. Statistical analyses will allow us to draw conclusions on which tests are the most feasible to implement, whether there is good test-retest reliability, and whether the tests have good construct validity. This study will fill a critical gap in pediatric exercise science literature. These results will inform future studies of the physical fitness of children with ASD, which will help to establish the need for, and facilitate the design of, physical health interventions for this population."
The Relationship Between Fundamental Motor Skills and Physical Activity in 6-10 year old Children with and without Down syndrome,"['Bremer, Emily']",['N/A'],"['Children', 'Disability', 'Down Syndrome', 'Fundamental Motor Skills', 'Intellectual Disability', 'Motor Development', 'Obesity', 'Participation', 'Physical Activity']",4950.0,251607,"The physical activity (and inactivity) of children is a topic currently at the forefront of international health priorities due to its role in preventing obesity and its associated secondary health conditions. The incidence of obesity and inactivity is even higher in children with disabilities, which includes children with Down syndrome (DS). Recent research indicates that motor skill proficiency is positively related to physical activity. The fundamental motor skills of children with DS have been described as slow, clumsy and generally below the level of their peers with typical development (TD). Children with DS may have difficulty keeping up with their peers, they may fall more often and be unsure about running, climbing or jumping; consequently, they may avoid these types of activities. Poor motor skills can impact various aspects of the lives of children with DS including school, sport participation, vocational work, community and physical activity participation. There is very little empirical research on the activity levels of elementary school age children with DS, what activities they prefer, what factors influence their physical activity, or the best ways to facilitate lifelong healthy levels of physical activity. The purpose of this study is to investigate the relationship of fundamental motor skills and physical activity in 6-10 year old children with and without DS. Results of this study will help inform interventions such as Active Start and FUNdamentals programs, and provide a more clear understanding if fundamental motor skills are more or less important for physical activity in children with DS."
Investigating a motor skill intervention for preschool age children with autism spectrum disorder,"['Bremer, Emily']",['N/A'],"['Autism Spectrum Disorder', 'Children', 'Developmental Disability', 'Early Intervention', 'Fundamental Movement Skills', 'Intellectual Disability', 'Motor Development', 'Physical Activity']",17500.0,278455,"The physical inactivity of children is a public health crisis that has been linked to a number of chronic diseases including obesity. Autism Spectrum Disorder (ASD) is a common development disability that is characterized by delays in communication, social reciprocity, and repetitive behaviours; it is often associated with intellectual disability. Children with ASD have significant delays in their fine and gross motor skills which may inhibit them from engaging in active play; thus, increasing their risk of inactivity. Although little is known about the variables that contribute to physical activity (PA) in children, particularly in children with disabilities, potential factors include sport involvement, lack of transportation and finances. Many of these factors known to influence PA are not modifiable. Proficiency in fundamental movement skills (FMS) is arguably one of the most important predictors of PA in children because it is modifiable - FMS can be improved through intervention, finances are not likely to change. FMS are the basic movement skills that are essential to the future acquisition of the more complex skills required in games and recreational physical activities. Research has clearly demonstrated that FMS competency is positively related to PA yet, children with ASD experience significant delays in their FMS; thus, early intervention is of utmost importance. The purpose of this study is to examine the effects of a FMS intervention on PA levels and social behaviour in preschool-aged children with ASD. Participants will engage in a 12-hour intervention over the course of 6 or 12 weeks depending on group assignment. Participants' FMS, PA, and social behaviour will be measured multiple times throughout the study: pre- and post-intervention and at a follow-up point. The findings of this study will fill an important gap in the literature and contribute to future wide-scale interventions targeting FMS competency and physical inactivity in children with ASD."
