Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
"Embarking on a journey to explore the realities of pediatric solid organ transplantation for Indigenous patients, families and communities across Canada","['Anthony, Samantha J', 'Beaucage, Mary B']","['Dart, Allison B', 'Goldberg, Aviva M', 'Matsuda-Abedini, Mina', 'Urschel, Simon', 'Weiss, Matthew']","['Health Equity', 'Indigenous Health', 'Patient Engagement', 'Patient-Oriented Research', 'Pediatrics', 'Solid Organ Transplantation']",382499.0,453092,"In Canada, Indigenous peoples (including First Nations, Métis and Inuit) experience persistent health and social disparities and report higher rates of end-stage organ failure. The reasons for these disparities are complex and have been linked to Canada's history of colonialism and racism. Our ultimate objective is to improve access rates and health outcomes of solid organ transplantation among Indigenous children. This research will explore the following questions: 1) How can we foster meaningful engagement with Indigenous patients and families as equal partners in research? 2) What is known about access to and outcomes of transplantation among Indigenous children? 3) How do transplantation rates and outcomes compare between Indigenous and non-Indigenous children? 4) What are the experiences and perspectives of Indigenous patients, families and knowledge users? And 5) How can we collaborate with knowledge users to create culturally safe tools to improve health outcomes in pediatric solid organ transplantation? Our study design will include four phases: 1) A scoping review to describe the international knowledge about access, survival and health outcomes of transplantation among Indigenous children; 2) A retrospective cohort study to compare transplantation rates and outcomes between Indigenous and non-Indigenous children in Canada; 3) Semi-structured Interviews with Indigenous transplant patients and families, and knowledge users to identify barriers and facilitators to transplant access and care; and 4) A knowledge sharing workshop with community partners and knowledge users. This research will focus on building strong partnerships with Indigenous patients and families to share power and research decision-making. Guided by their experiences and knowledge, this research will co-create new knowledge about transplantation rates and outcomes to inform measurable goals and interventions to improve health equity within pediatric transplantation."
Exploring health vulnerabilities and community-grown adaptation to climate change,"['Apantaku, Glory O']",['N/A'],"['Climate Change And Health', 'Environmental Determinants Of Health', 'Mixed Methods Research']",105000.0,476159,"Canada is warming at a rate twice the global average, in northern Canada, it's three times the global average. Communities across Canada are already experiencing direct health impacts from extremes of weather like heat waves and wildfires. These impacts are unequally distributed. The most vulnerable people, people with chronic conditions or in rural and remote areas with limited access to emergency services, bear most of the impact. There is an urgent need to understand and support community-grown adaptation taking place in rural and remote communities in Canada, as there is limited research on local solutions. My core objectives are to understand individuals' and communities' experiences of climate events, how their perception of vulnerability or resilience informs autonomous adaptation at the household or community level, and the types of solutions they believe will promote population health in a rapidly changing climate. This research will use mixed methods, including interviews, focus groups, photovoice, and choice experiments. Community members and community leaders will be able to share their perspectives and experiences. Photovoice, an arts-based method will provide people room for participants to not just tell but show their lived experiences through pictures. Interview and focus group data will be analyzed thematically, photovoice data will be analyzed in collaboration with participants through a meaning-making exercise. Choice experiments will be used to explore the preferences of people on the best ways to promote population health in a changing climate, data will be analyzed using conditional logit models in STATA. This work will highlight areas where policymakers in health authorities and ministries of health can provide funding and support or scale up community-grown adaptation efforts. It will also provide insight into public preferences for interventions aimed at ensuring environmentally sustainable improvements in population health."
The Association of The Built Environment with Metabolomics and Cancer Risk,"['Aravindakshan, Atul']",['N/A'],"['Breast Cancer', 'Built Environment', 'Cancer Risk', 'Colorectal Cancer', 'Lung Cancer', 'Metabolomics', 'Prostate Cancer']",105000.0,460914,"Cancers have been the leading cause of death in Canada at least since the early 2000s. The built environment is the infrastructure and its layout made by humans such as urban green spaces, road networks, and residential and commercial establishments, and there is a growing interest in studying its effect on health, including the risk of cancer. Built infrastructure, such as recreational spaces and walking paths, have resulted in increased physical activity promoting a healthier lifestyle. However, improved infrastructure with increased road connectivity, sidewalk completeness, and access to parks could be associated with increased population density and accompanying negative consequences such as increased pollution levels. Environmental exposures such as air pollution, the extent of greenness and ambient light at night, and modifiable lifestyle factors such as physical activity, diet, smoking, and alcohol intake have been shown to influence the risk of cancer.
These environmental and lifestyle factors also affect the levels of metabolites, which are small-molecule biochemicals, such as proteins, in the human body. Metabolites are closely related to disease characteristics and are routinely used for diagnosis, studying disease processes, and discovering disease pathways, including those related to cancer.

The study aims to combine data from the Canadian Partnership for Tomorrow's Health (CanPath), the Canadian Urban Environmental Health Research Consortium (CANUE), and the Where Matters: Health & Economic Benefits Study to investigate the combined effect of the built environment and lifestyle factors on the risk of breast, prostate, lung, and colorectal cancers in British Columbia and Alberta. In addition, to improve our understanding of how the built environment influences health, the study will use previously generated biochemical data in British Columbia to uncover metabolites associated with various aspects of the built environment."
Correlates of suicidality among a community-based cohort of women sex workers: The protective effect of social cohesion,"['Argento, Elena']",['N/A'],['Ics Travel Awards'],2650.0,391549,"Background: Suicide is a critical public concern globally. Sex workers experience disproportionately elevated risks and rates of morbidity and mortality, yet empirical research on suicide risk among marginalized women is limited. This study therefore aimed to longitudinally investigate the burden and socio-structural correlates of suicidality among women sex workers in Vancouver, Canada. 

Methods: Data (2010-2017) were drawn from a community-based, prospective cohort of women sex workers known as AESHA (An Evaluation of Sex Workers Health Access). Participants completed biannual interviewer-administered questionnaires and correlates of suicidality (suicide attempts or ideation) in the last six months were analyzed using bivariate and multivariable logistic regression with generalized estimating equations (GEE). 

Results: Of a total 867 participants at baseline, 16% (n=141) reported suicidality in the last six months, and 29% reported suicidality at some point during the study; 38% of women identified as Indigenous. In final multivariable analysis, the following factors were independently associated with suicidality: physical and/or sexual childhood abuse, mental health issues (depression/anxiety/post-traumatic stress disorder), intimate partner violence, physical and/or sexual violence by clients, and homelessness. Older age and higher social cohesion among women were significantly associated with reduced risk of suicide. 

Conclusions: These findings reveal key socio-structural correlates of suicidality among women sex workers, including past trauma, partner violence, and homelessness. Strengthening social cohesion among sex workers may have a protective effect on suicidality. Trauma-informed and community-led structural interventions tailored to women sex workers are urgently needed alongside a legal framework that enables collectivization and connectedness."
Digital Health and Artificial Intelligence based Platform for Early Chronic Disease Risk Assessment and Prediction to Improve Population Health,"['Abidi, Samina R', 'Abidi, Syed S', 'Sweeney, Ellen']","['Christie, Sean D', 'Kim, Jong Sung', 'Loubani, Osama', 'Tennankore, Karthik K', 'Young-Shand, Kathryn L']","['Artificial Intelligence', 'Behaviour Modification', 'Chronic Diseases', 'Dashboard', 'Data Visualization', 'Digital Health', 'Lifecourse Health', 'Multi-Morbidity Risk', 'Population Health', 'Risk Assessment']",99970.0,468873,"51.6% of Canadians over the age of 20 live with at least one chronic disease. This has led to a rise in multimorbidity, i.e. more than one diseases at the same time. Chronic disease patients cost the Canadian economy $190 billion/year, i.e. 67% of all direct healthcare costs.
The available risk assessment tools do not inform the person about the multi-morbidity risk and do not provide the underlying risk factors contributing to the onset of a chronic disease. Given recent advances in digital health, consumer health technologies (wearable health devices and smart mobile devices) and Artificial Intelligence we now have real opportunities for proactive and personalized chronic disease risk assessment based on the combination and analysis of the individual's physiological and psychosocial profile. 
Our objective is to develop a digital health/e-health enabled Personalized Risk Investigation, Stratification and Mitigation (PRISM) platform, to allow (a) self-assessment of chronic disease risks based on integration of health data (b) Visualize the calculated risks via an interactive dashboard accessible via the web.
To develop PRISM, we will (a) Develop a computerized model to model the interactions between risk factors, risks, diseases, multi-morbidity and mitigation interventions (b) Develop the PRISM interactive health dashboard using visual analytics technologies."
Canadian Network for Advanced Interdisciplinary Methods  for Prospective  Studies of Drug Safety and Effectiveness,"['Abrahamowicz, Michal M', 'Bérard, Anick', 'Bernatsky, Sasha R', 'Hohl, Corinne M', 'Lacaille, Diane V', 'Levesque, Linda E', 'Levy, Adrian R', 'Moride, Yola', 'Pilote, Louise']","['Bessette, Louis', 'Blais, Lucie', 'Boire, Gilles', 'Bombardier, Claire', 'Buckeridge, David L', 'Cadarette, Suzanne M', 'Capek, Radan', 'Da Costa, Deborah M', 'Durand, Madeleine', 'Feldman, Debbie', 'Fortin, Paul R', 'Fuhrer, Rebecca', 'Hanly, John G', 'Ionescu-Ittu, Raluca D', 'Kaufman, Jay S', 'Klein, Marina B', 'Lix, Lisa M', 'Marra, Carlo A', 'Moodie, Erica E', 'Moura, Cristiano S', 'Peschken, Christine A', 'Rahme, Elham', 'Ramsay, Timothy O', 'Strumpf, Erin C', 'Tu, Karen', 'Yi, Grace Y']","['Comparative Effectiveness And Safety', 'Confounding Bias', 'Exposure Measurement Errors', 'Pharmacoepidemiology', 'Prospective Studies', 'Statistical Modeling']",1242000.0,314478,"Medication use and health costs increase steadily with the aging of the Canadian population and the ever expanding number of medications available on the market. Overall, new treatments contribute to the increasing life expectancy and improved health of Canadians. However, some medications currently available on the market may have important un-intended adverse health effects. Furthermore, it is not always clear which of the alternative medications, available to treat a given disease offer the maximum benefits to the patients. The above concerns are reflected in frequent 'research queries', initiated by Health Canada or provincial agencies that regulate medications availability and use, regarding either the safety or the therapeutic effectiveness of specific medications. To address such queries, researchers require high-quality data on drug use and health outcomes among the users, as well as sophisticated research methods. To provide accurate and timely responses to queries concerning safety or benefits of particular drugs, currently used by Canadians, we have created a highly inter-disciplinary network of 35 researchers, from 13 universities in 6 Canadian provinces, who provide complementary clinical and methodological expertise. In the past 2.5 years, our team has already completed or initiated several research projects that address recent drug-related queries. With this highly qualified and experienced team we aim to establish and reinforce Canada's position as the international leader in research on effectiveness and safety of the medications. Our state-of-the-art scientific methods will help identifying adverse effects of some medications and compare the benefits of alternative drugs, currently used to treat many diseases. This will help optimize drug prescribing practice and, in turn, will ultimately lead to both more rational use of health care resources and improved health for Canadians."
"New statistical methods for population-based studies of time-varying drug exposures: development, validation, and real-world analyses of drug safety and effectiveness","['Abrahamowicz, Michal M']","['Avina-Zubieta, Juan A', 'Bérard, Anick', 'Bernatsky, Sasha R', 'Dixon, William G', 'Durand, Madeleine', 'Eder, Lihi', 'Ferreira Guerra, Steve', 'Lacaille, Diane V', 'Perreault, Sylvie', 'Pilote, Louise', 'Sapir-Pichhadze, Ruth', 'Tamblyn, Robyn M', 'Widdifield, Jessica', 'Yi, Grace Y']","['Absolute Risks', 'Biostatistics', 'Cumulative Effects', 'Drug Safety And Effectiveness', 'Exposure Measurement Errors', 'New Methods', 'Pharmacoepidemiology', 'Simulations', 'Time-Varying Exposures', 'Unmeasured Confounding']",481950.0,453430,"Ensuring the safety and effectiveness of drugs used to treat or prevent different diseases is essential for improving population health. Yet, some medications have serious unintended side effects or may be less effective than alternative drugs. Thus, an accurate assessment and comparison of the safety and effectiveness of medications currently used by Canadians is among the main priorities for health research, public health agencies and the general population. However, rigorous scientific assessment of real-world drug safety and effectiveness requires large population-based studies, which pose many analytical challenges. For example, patients prescribed a new drug may be more likely to have a more advanced disease and additional risk factors than receivers of a less expensive older drug. Thus, the observed differences in health outcomes between the users of alternative drugs may be due to differences in their characteristics, rather than to drugs' properties, and complex analyses are necessary to reduce bias and avoid incorrect conclusions. Furthermore, studies of drugs used in clinical practice have to account for treatment duration and drug doses, and for the possible treatment non-adherence, where some patients may take lower doses than prescribed or even stop using the drug. In addition, patients' responses to treatment may depend on their sex, age, and/or general health. To address these methodological challenges, we propose to develop and validate several new statistical methods for large population-based studies of medications. The use of the proposed new methods in large Canadian and international pharmacoepidemiology studies will permit more accurate assessments of the real-world safety and effectiveness of drugs used by Canadians to treat arthritis, infections, and cardiovascular diseases, or taken during pregnancy. Our new methods may also help improve drug prescribing, increasing health benefits while reducing the risks of serious adverse events."
CIHR-IPPH Trailblazer Award,"['Abramovich, Alex']",['N/A'],"['Health Equity', 'Homelessness', 'Intersectionality', 'Knowledge Mobilization', 'Lgbtq2s', 'Mixed Methods', 'Public Health', 'Qualitative Research', 'Social Determinants Of Health', 'Transgender Health']",12500.0,403880,"I am an Independent Scientist at the Institute for Mental Health Policy Research at the Centre for Addiction and Mental Health and an Assistant Professor at the Dalla Lana School of Public Health at the University of Toronto. For over a decade, I have made substantial contributions to address the public health needs of lesbian, gay, bisexual, transgender, queer, questioning, and 2-spirit (LGBTQ2S) youth experiencing homelessness. I am an internationally recognized leader and only one of a few Canadian researchers studying LGBTQ2S youth homelessness. My program of research focuses on preventing, reducing, and ending LGBTQ2S youth homelessness in Canada and internationally. 

I am an Early Career Investigator, having achieved a full time, independent position in 2016; yet, my research has led to significant practice and policy reform, and has changed the response to youth homelessness, both nationally and internationally. I have consulted with all levels of government to ensure the delivery of affirming and safe healthcare and social services to the LGBTQ2S population. My research and advocacy led to Canada's first transitional housing program for LGBTQ2S youth, as well as Canada's first provincial strategy addressing LGBTQ2S youth homelessness. 

Leadership, mentorship, and capacity building are key tenets of my scholarship. I support students in a range of disciplines, including public health, psychiatry, medicine, and social work, demonstrating the interdisciplinary impact of my research. My commitment to evidence-based research and advocacy has led to exceptional contributions in the areas of coherent intersectoral action for population health improvements, scalable population health solutions, and equitable population health impacts. Over the years, my program of research has resulted in solutions to complex population and public health issues, leading to real world change and life-saving programs and policies for some of the most marginalized young people."
Identifying and Examining Health Outcomes and Healthcare Utilization Among Transgender Adolescents and Youth Accessing Gender-Affirming Care in Ontario: A Mixed-Methods Study,"['Abramovich, Alex']","['Anderson, Kelly K', 'Khatchadourian, Karine', 'Kiran, Tara', 'Logie, Carmen', 'Saewyc, Elizabeth M', 'Shokoohi, Mostafa', 'Some, Nibene Habib', 'Vandermorris, Ashley']","['Administrative Health Data', 'Adolescents And Youth', 'Health Outcomes', 'Healthcare Utilization', 'Mental Health', 'Mixed Methods', 'Qualitative Interviews', 'Transgender']",401626.0,462354,"Transgender adolescents and youth experience high rates of stigma, discrimination, and identity-based rejection leading to poor health outcomes, including suicidality, substance use, depression, and anxiety. However, general health and healthcare utilization continues to be among the most understudied areas in transgender research, especially among transgender adolescents and youth. The goal of this mixed-methods study is to build a comprehensive understanding of the specific health outcomes, healthcare utilization patterns, experiences accessing the healthcare system, and health needs among transgender adolescents and youth (12-24 years) accessing gender-affirming care in Ontario, by utilizing administrative health data and in-depth one-on-one interviews. During the first phase of this study, we propose to identify 3,000 transgender adolescents and youth through data obtained from community and hospital clinics, which will be linked with administrative health data to examine the health outcomes and healthcare utilization patterns among transgender youth. During the second phase, we will conduct in-depth one-on-one interviews with a group of 60 transgender adolescents and youth to explore their reflections and understand the phase one quantitative results in more depth. This proposed study will be the first in Canada to identify transgender adolescents and youth within population-based health administrative data and investigate their health outcomes and healthcare utilization patterns. This project has the potential to transform existing services for adolescents and youth and provide evidence-informed recommendations for new and improved medical and social services for transgender youth. Findings will be used to make recommendations for the development of affirming and inclusive health services and/or interventions that support transgender youth to grow and develop into healthy adults."
"Promoting Health Research Career Opportunities for 4,500 Northern Youth","['Actua, .']","['Carroll, Kaitlynn']","['Camps', 'Cihr Mentor Placement', 'Hands-On Educational Outreach', 'Health Careers', 'Health Science', 'Inuit Youth', 'Northern Youth', 'Population Health', 'School Workshops', 'Traditional Knowledge']",90000.0,228923,"This application is for financial support in the amount of CDN 30,000/year (May 1, 2011 - April 30, 2014) for the delivery of dynamic, high-impact health research related programming in the form of school workshops and camps in up to 20 rural Northern communities per year reaching an estimated 1,500 youth (ages 9-12) per year located throughout Yukon Territory, Northwest Territories, Nunavut, Northern Quebec and Newfoundland and Labrador; and the placement of 5-10 CIHR researchers per year as mentors in Northern communities. Our objective is to build on the success of our current partnership, which raises awareness of health research opportunities for Northern youth and inspires them to imagine their futures as potential contributors to vital health research that contributes to the sustainability of Northern rural communities."
