Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
Teaching empowerment: Grass-roots educators' strategies to address gender equity in the context of the HIV epidemic in South Africa,"['Gacoin, Andree E']",['N/A'],"['Curriculum', 'Education', 'Ethnography', 'Gender Equity', 'Health Promotion', 'South Africa', 'Youth']",150000.0,218055,"A key issue in HIV prevention education is addressing the unequal gender power relations (relations between men and women within a particular society) that make many young women more vulnerable to HIV infection. For example, it can be difficult for young women to negotiate condom use with their partner.  The importance of teaching gender equity is particularly evident in South Africa, where the HIV prevalence in young women aged 20 to 29 is double that of young men in the same age group.  There is however a significant gap in our understanding of how HIV prevention curricula are taught, and how messages related to gender equity are communicated and understood in the everyday context of people's lives.  My research, which builds on my professional experience working in South Africa, aims to deepen our understanding of how gender equity is taught, understood and taken-up at a community level.  I will conduct a year-long ethnographic study with a South African non-profit organization that develops youth peer education training curricula.  The program provides a unique opportunity to explore how adult educators interpret and implement messages as they train peer educators (youth ages 14 to 16 who engage in educational activities with their peers in secondary school settings), as well as how peer educators take-up these messages as they engage with their peers. This research will contribute to our understanding of how we can bring together local and global leadership to promote more equitable gender relations through health education, in this instance to empower young women and young men to protect themselves from a life threatening disease. Furthermore, the research aims to be more broadly applicable to the field of sex education, and will offer Canadian educators a unique opportunity to learn from strategies that promote gender equity and apply these strategies to their own work with Canadian youth."
"Investigating the relationships between residential stability, physical and mental health, and quality of life in homeless and vulnerably housed individuals: A longitudinal multi-site cohort study in Canada","['Gadermann, Anne M']",['N/A'],"['Determinants Of Health And Quality Of Life Of Homeless', 'Housing And Homelessness', 'Latent Class Growth Modeling', 'Longitudinal Analysis', 'Population Health', 'Psychometrics', 'Vulnerable Populations']",90000.0,269839,"Housing is a basic human need and a significant socio-economic determinant of population health. In Canada, an increasingly large number of individuals are facing homelessness and inadequate housing, with tens of thousands of people being homeless on any given night. Homelessness and inadequate housing have considerable negative impact on individuals' physical and mental health as well as their quality of life. In order to elucidate factors that affect residential (in)stability, and the interactions between inadequate housing, health, and quality of life, longitudinal research is needed. This project draws upon Canada's first longitudinal multi-site cohort study of homeless and vulnerably housed individuals (HVHIs). In this study, 1,200 HVHIs are interviewed annually over a 5-year period in Ottawa, Toronto, and Vancouver. The interview surveys assess demographic characteristics, residential trajectory, physical and mental health diagnoses, quality of life, psychological distress, family history, social support, risk behaviours, service utilization, contact with the legal system, and life events. These data are being linked to participants' health insurance databases providing information on their health care utilization. Complex statistical methods will be employed to examine the relationships between housing, health, and quality of life among the HVHIs over time; the combination of individual, contextual, and health factors that predict residential (in)stability; and how the health status, psychological distress, social support, risk behaviours, quality of life, and use of health care services change during or after periods of residential stability. 
This research is critical for understanding the relationships between inadequate housing, health and quality of life, and for creating research knowledge that can be used to inform programs and policy decisions for improving the health and quality of life of Canadians who are homeless or vulnerably housed."
"Investigating the relationships between residential stability, physical and mental health, and quality of life in homeless and vulnerably housed individuals: A multi-site longitudinal study in Canada","['Gadermann, Anne M']",['N/A'],"['Determinants Of Health And Quality Of Life Of Homeless', 'Housing And Homelessness', 'Longitudinal Data Analysis', 'Path Analysis', 'Population Health', 'Vulnerable Population']",135000.0,193879,"Housing is a basic human need and a significant socio-economic determinant of population health. In Canada an increasingly large number of individuals are facing homelessness and inadequate housing, with tens of thousands of people being homeless on any given night. Homelessness and inadequate housing have considerable negative impact on individuals' physical and mental health as well as their quality of life. In order to elucidate factors that affect residential (in)stability, and the interactions between inadequate housing, health, and quality of life, longitudinal research is needed. This project draws upon Canada's first longitudinal multi-site cohort study of homeless and vulnerably housed individuals (HVHIs). In this study, 1200 HVHIs are interviewed annually over a 3-year period in Ottawa, Toronto, and Vancouver. The interview surveys assess demographic characteristics, residential trajectory, physical and mental health diagnoses, psychological distress, human capital, family history, social support, risk behaviours, service utilization, contact with the legal system, life events, and quality of life. These data will be linked to participants' health insurance databases providing information on their health care utilization. Complex statistical methods will be employed to examine the relationships between housing, health, and quality of life among the HVHIs over time; the combination of individual, contextual, and health factors that predict residential (in)stability; and how health status, psychological distress, social support, risk behaviours, quality of life, and use of health care services change during or after periods of residential stability. This research is critical for understanding the relationships between inadequate housing, health and quality of life and for creating research knowledge that can be used to inform programs and policy decisions for improving the health and quality of life of Canadians who are homeless or vulnerably housed."
Mental health trajectories of immigrant and refugee children from early childhood to adolescence: An ecological population- based approach,"['Gadermann, Anne M', 'Georgiades, Katholiki K', 'Guhn, Martin', 'Janus, Magdalena']","['Gagné Petteni, Monique H', 'Puyat, Joseph H', 'Richardson, Chris G', 'Ungar, Michael']","['Child And Youth Development', 'Developmental Trajectories', 'Immigrant And Refugee', 'Longitudinal Data Analyses', 'Mental Health', 'Population Health', 'Social Determinants']",218026.0,381972,"Canada's immigrant and refugee population is growing rapidly, representing approximately 20% of the Canadian population. Despite the demographic significance, there is limited representative information on the mental health of this population. One significant challenge for the field concerns the absence of a cogent understanding of the ways in which individual, family, cultural, school, and neighbourhood factors are jointly associated with the mental health trajectories of immigrant and refugee children and youth from kindergarten through grade 12.
This research project aims to address this gap. Our team has built a large, representative database, which follows children from kindergarten to grade 12, and captures mental health information as well as a number of factors that may be associated with mental health, including (i) migration factors (country of origin; immigration categories; age of arrival; generational status), (ii) social and socioeconomic family factors (connectedness to adults at home, maternal psychopathology, socio-economic status (SES)), and (iii) social, socio-demographic, and ethno-cultural characteristics of the receiving communities (connectedness to peers and adults at school, neighbourhood SES, and proportion of own-group immigrants in the neighbourhood). Using this database, and applying an ecological framework, we will examine the ways in which migration-related characteristics, contextual variables, and social processes are jointly related to immigrant and refugee child and youth mental health outcomes over time. This will allow us to identify actionable protective and risk factors to enhance immigrant/refugee child and youth mental health, thus providing important insights for prevention and intervention strategies."
The Social Exposome in Child Health and Development: Building Partnerships and Collaborations to Reduce Inequalities in Canada,"['Gadermann, Anne M', 'Kobor, Michael S']","['Guhn, Martin', 'Henderson, Sarah', 'Van Jaarsveld, Danielle', 'DeLongis, Anita', 'Janus, Magdalena', 'McGrail, Kimberlyn M', 'Turvey, Stuart E']","['Child Development', 'Child Health', 'Environmental Health', 'Epigenetics', 'Exposome', 'Inequalities', 'Population Health', 'Social Determinants Of Health']",10000.0,404393,"Despite being the 5th most prosperous country in the world, when compared to other developed countries, Canada's rankings are alarmingly low on key measures of children's health and safety, as well as child poverty (17% of all children). These conditions have resulted in large and growing inequalities in the development and health of Canadian children. For example, using standard measures, children from low income neighbourhoods are more vulnerable on key areas of development than those from high income neighbourhoods. In addition, children with chronic diseases, like asthma, who are from low income neighbourhoods or families are admitted to the hospital more frequently. This impact of living conditions on health and well-being is referred to as the social determinants of health, and when experienced during development, has life-long implications for the risk of developing chronic diseases and mental illnesses. It is crucial that we understand the specific factors leading to these inequalities in order to devise policies and interventions to reduce them. 

We are proposing to host a workshop that will bring together researchers, health care practitioners, experts in policy, and relevant community and government groups to understand the social and environmental factors that lead to these disparities, the biological processes in the body by which they do so, and to explore potential policies and interventions to reduce them. We anticipate this leading to new collaborations and partnerships and identifying the next steps required to optimize child health and development for all children in Canada."
Understanding Pandemic Preparedness in the Context of the Canadian Homelessness Crisis,"['Gaetz, Stephen A']","['Ali, Syed H', 'Graham, John R', 'Hurtubise, Roch', 'Hwang, Stephen W', 'Keil, Roger', 'Mosher, Janet E', 'Pauly, Bernadette M', 'Waegemakers Schiff, Jeannette', 'Wu, Jianhong']","['Health Care', 'Homelessness', 'Pandemic Planning', 'Public Health']",100000.0,183452,"As homelessness in Canada continues, it is essential to ask what impact an influenza pandemic might have on the homeless population and urban communities across the country.   More than 250,000 individuals use homeless shelters annually across Canada. In the event of a pandemic, it is not clear whether the infrastructures to address homelessness, public health or the health care system in general will be prepared to adequately respond to the risks faced by the homeless population.  
      We will address key challenges to effective pandemic preparedness in the context of the homelessness crisis in by assembling a multidisciplinary, pan-Canadian team of top homelessness researchers and community-based organizations in  Victoria, Calgary, Montreal and Toronto.  In each city, a team will investigate the potential risk factors and impacts of an influenza pandemic on the homeless population and the infrastructure that is in place to provide emergency services to this group.  This will be done by gathering baseline information on the local homeless population; assessing pandemic plans at municipal, provincial and agency levels; and analyzing and profiling homeless services infrastructures.  
     This analysis will help Canadians in all parts of the country, in all levels of government, and within a broad range of communities to better prepare for, and respond to an influenza pandemic."
Self-stigma: a barrier to rehabilitation among older adults with sensory impairment,"['Gagne, Jean-Pierre']","['Getty, Louise', 'Given, Lisa M', 'Jennings, Mary Beth', 'Jutai, Jeffrey W', 'Lagacé, Martine', 'Overbury, Olga', 'Strong, Graham G']","['Anti-Stigma Treament Program', 'Mixed Qualitative And Quantitative Research', 'Psychosocial Consequences Of Sensory Impairment', 'Self-Stigma', 'Sensory Impairments', 'Treatment Efficacy Research']",5000.0,185654,"In North America there is a stigma attached to older adults who have hearing and/or vision impairments. Individuals who have these chronic impairments are perceived to be senile, less able and socially inept. Traditionally, stigma research focused on describing the perceptions and behaviours of ""the outsiders""; that is, those individuals who do not possess a stigmatizing trait. Recently however, stigma has been investigated from the perspective of ""the insiders""; or those individuals who possess a stigmatizing trait. Self-stigma is a condition whereby a person holds a devalued perception of himself/herself (""a perceived identity threat"") due to the fact that they have a stigmatizing trait. Self-stigma often leads to shame and lower self-esteem. In some domains of health, such as mental illness, as well as in the case of sensory impairments it has been shown that self-stigma can act as an obstacle to rehabilitation. In order to avoid or minimize being identified as a member of a stigmatized group, individuals with a given health condition may choose not to seek health services or fail to comply with the recommended treatments. There is ample evidence that many older adults who have hearing and/or vision impairments and are eligible for rehabilitation services choose not to access them. We hypothesize that an important part of this avoidance attitude towards treatment is attributable to self-stigma. We propose a research program that will investigate several aspects of self-stigma associated with sensory impairments. Moreover, as in other domains of health, we will develop a self-stigma treatment program for the targeted population. If our self-stigma treatment program is efficacious, older adults with sensory impairment will display: a decrease in self-stigma; an increase in access to rehabilitation services (including the use of assistive technology); and an improvement in their overall health condition, autonomy, and quality of life."
Challenging the study of health inequalities during young adulthood: smoking in the Canadian National Population Health Survey as a case example,"['Gagné, Thierry']",['N/A'],"['Cancer', 'Ics Travel Awards', 'Longitudinal', 'Smoking', 'Social Inequalities', 'Young Adulthood']",1000.0,382799,"Background. Understanding the development of health inequalities during young adulthood requires consideration of the dynamic and age-graded nature of socioeconomic circumstances during this life period. To illustrate this, we examine changes in social inequalities in smoking between the ages of 18 and 25.

Methods. 1,243 young adults were followed every two years in the Canadian National Population Health Survey. Using GEE models, we regressed smoking on education, living arrangements, and relationship, employment, and student status. We examined main effects and interactions by education and age. 

Results. Post-secondary education was associated with a lower risk of smoking while atypical living arrangements, not studying, and being single were associated with a higher risk of smoking. These associations, however, significantly varied with age. The positive influence of having post-secondary education on the risk of smoking was absent at ages 18-19 and became strong at ages 24-25. On the other hand, the negative influence of living with children on the risk of smoking was very strong at ages 18-19 but disappeared by ages 22-23.  The influence of relationship status was modified by age and education: there was a positive influence of being in a couple on the risk of smoking among participants with post-secondary education between the ages of 22 and 25. 

Conclusions. ""Average"" effects provide a limited understanding of health inequalities during young adulthood. Research need to further address the dynamic and age-graded nature of young adult socioeconomic circumstances by investigating how these associations change over time and across socioeconomic groups."
What is health promotion? Using a lexical and citation analysis to advance our understanding of current health promotion research and practice.,"['Gagné, Thierry']",['N/A'],"['Bibliometry', 'Citation Analysis', 'Health Promotion Theory', 'Lexical Analysis', 'Multiple Correspondance Analysis']",2015.0,337221,"Within public health, health promotion (HP) is a recent field that stems from the confluence of multiple disciplines, including notably public health, sociology, psychology, political sciences and education. This multidisciplinarity has created great debate on the definition, role and functions of HP. This unfortunately contributes to the slowing progress of HP's development and institutionalization.  The aim of this project is thus to provide a complementary empirical perspective to this primarily conceptual debate. We used a three-pronged approach: (1) we developed a citation analysis to examine the most cited journals within Health Promotion International in 2013-2014; (2) we surveyed an international panel of HP scholars (n = 27) on the ten journals most relevant to their work; (2) we developed a lexical analysis of the most prevalent words among these journals' abstracts. We then examined similarities among scholars' choices, abstracts' words and references. We found that only one journal, Health Promotion International, was voted by more than 75% of our sample. We also found that research was often segregated into distinct subgroups, underlying some of the core tensions in the field. These results indicate that multidisciplinarity is a key feature of HP research and practice. If embraced, it can strengthen HP by enriching our understanding of health and social issues from a variety of perspectives. However, multidisciplinarity may also divide experts into specific disciplinary silos lacking a common field. To address this issue, we propose that more academic venues and institutions should be developed specifically to facilitate such work."
Do young adults represent a missed opportunity? Trends in smoking initiation in Canada,"['Gagné, Thierry']",['N/A'],"['Canada', 'Smoking', 'Social Inequalities', 'Young Adult']",1226.0,364522,"Young Canadians have enjoyed a stark decrease in smoking initiation in the last two decades. There is reason to believe, however, that (1) some groups such as those who are socioeconomically disadvantaged have not enjoyed this decrease and (2) young adults (18-25) have not either. This study used one of Statistics Canada's largest health database, the Canadian Community Health Survey, and examined changes in smoking initiation rates that occurred during youth and young adulthood among participants ages 25-26 between 2001 and 2013. Our results support that there has been no significant decrease in smoking initiation rates among youth who do not finish high school. We also found that there has been no change in initiation rates occurring during young adulthood during this period. We argue that public health instances should pay more attention to social inequalities and work to integrate young adults in their strategic planning."
