Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aaltonen, Mari S",University of British Columbia,Travel Awards - Institute Community Support,201901ISU,Summer Program in Aging,The challenge of dementia in the era of increasing longevity and changing care organizations,"                  $1,000","                      $0","1 yr 0 mth "
"Aardema, Frederikus",CIUSSS de l'Est-de-l'lle-de-Montréal-Santé Mentale,CIHR New Investigator,201009MSH,Health Research Salary A,Introspection and insight in non-clinical and clinical populations,"                $240,000","                      $0","4 yrs 0 mth "
"Aardema, Frederikus",CIUSSS de l'Est-de-l'lle-de-Montréal-Santé Mentale,Operating Grant,201009MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Introspection and insight in non-clinical and clinical populations,"                $205,152","                      $0","4 yrs 0 mth "
"Abbasgholizadeh Rahimi, Samira; Emami, Elham",McGill University,Planning and Dissemination Grant - Institute Community Support,202302PCS,Planning and Dissemination Grants,Equitable and Inclusive AI for public health and healthcare: Advancing EDI Principles in the life cycle of AI,"                 $20,000","                      $0","1 yr 0 mth "
"Abdelmoneim, Ahmed",Direct Payment,Travel Awards - Institute Community Support,201305ISU,"Institute of Nutrition, Metabolism and Diabetes","Glyburide, In Contrast To Gliclazide, Has A Dose-Response Relationship With Adverse Cardiovascular Outcomes In Type 2 Diabetes Patients","                  $1,386","                      $0","0 yr 3 mths "
"Abdelouahab, Nadia",Université de Sherbrooke,Banting Postdoctoral Fellowship Program,201011BPF,Banting Postdoctoral Fellowships Program,Old and new environmental exposures: focus on flame retardants mixture as a potential risk factor for neurodevelopmental impairment. Follow up of GESTE birth cohort.,"                $140,000","                      $0","2 yrs 0 mth "
"Abel, Krystine",Centre for Addiction and Mental Health (Toronto),Indigenous Gender and Wellness Development Grants,201910IWD,Indigenous Gender and Wellness Development Grants,Knowledge Circles to Understand Indigenous 2SLGBTQ Inclusion in the Mental Health and Addictions System in Ontario: Dialogues to Explore a 2SLGBTQ Training Program,"                 $35,000","                      $0","1 yr 0 mth "
"Abidi, Samina R; Abidi, Syed S; Sweeney, Ellen",Dalhousie University (Nova Scotia),Catalyst Grant: CPHO Report - General Pool,202205FO4,Catalyst Grant : Chief Public Health Officer (CPHO) Report 2023,Digital Health and Artificial Intelligence based Platform for Early Chronic Disease Risk Assessment and Prediction to Improve Population Health,"                 $99,970","                      $0","1 yr 0 mth "
"Ablenas, Robert D; Harrison, Scott",Direct Payment,Planning Grants - Priority Announcement: Aging,201302MAG,Planning Grants,Framework for Action to Create Social Support Networks for 60+ Gay Men in BC,"                 $25,000","                      $0","1 yr 0 mth "
"Ablona, Aidan",University of British Columbia,Travel Awards - Institute Community Support,201901ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,Dried-Blood Spot HIV and Hepatitis C Virus (HCV) Testing Uptake in Community-Based Bio-Behavioural Research,"                  $1,490","                      $0","1 yr 0 mth "
"Abonyi, Sylvia; Oosman, Sarah N",University of Saskatchewan,Operating Grant,201403MOP,Aboriginal Peoples' Health,Wuskiwiy-tan! Let's Move! Aging well in a northern Saskatchewan Métis Community,"              $1,253,649","                      $0","5 yrs 0 mth "
"Abonyi, Sylvia",University of Saskatchewan,"Dissemination Events - PA: First Nations, Inuit and Métis Health",201306DFN,Dissemination Events Grants,Addressing and Redressing Issues of Respiratory Health and Housing Among First Nations People: Program & Policy Options,"                 $19,005","                      $0","1 yr 0 mth "
"Abonyi, Sylvia",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,201702PCS,Planning and Dissemination - IIPH,"Disparities in Respiratory Health Among First Nations People: Assess, Redress, Re-assess. Sharing Knowledge & Experience, Revealing Priorities & Directions","                 $19,122","                      $0","1 yr 0 mth "
"Aboulatta, Laila",University of Manitoba,Doctoral: Vanier Canada Graduate Scholarships,202211CGV,Vanier Canada Graduate Scholarships CIHR,Impact of COVID-19 public health measures and lockdown on maternal and neonatal health,"                $150,000","                      $0","3 yrs 0 mth "
"Abrahamowicz, Michal M; Bérard, Anick; Bernatsky, Sasha R; Hohl, Corinne M; Lacaille, Diane V; Levesque, Linda E; Levy, Adrian R; Moride, Yola; Pilote, Louise",Research Institute of the McGill University Health Centre,Team Grant: DSEN Coll Centre for Prospective Studies -Comparative Effectiveness,201405TD3,DSEN Collaborating Centres,Canadian Network for Advanced Interdisciplinary Methods  for Prospective  Studies of Drug Safety and Effectiveness,"              $1,242,000","                  $8,000","5 yrs 0 mth "
"Abrahamowicz, Michal M",Research Institute of the McGill University Health Centre,Operating Grant,201103MOP,"Public, Community & Population Health","New Statistical Methods for Population-based Studies of Comparative Effectiveness and Safety of Medications: Development, Validation and Applications","                $695,137","                      $0","5 yrs 0 mth "
"Abrahamowicz, Michal M",Research Institute of the McGill University Health Centre,Project Grant,201603PJT,Project Grant Competition,New statistical methods for cohort studies of adverse effects of medications,"                $753,035","                      $0","5 yrs 0 mth "
"Abrahamowicz, Michal M",Research Institute of the McGill University Health Centre,Project Grant,202109PJT,"Public, Community & Population Health 2","New statistical methods for population-based studies of time-varying drug exposures: development, validation, and real-world analyses of drug safety and effectiveness","                $481,950","                      $0","3 yrs 0 mth "
"Abramovich, Alex",Centre for Addiction and Mental Health (Toronto),CIHR-IPPH Trailblazer Award  - Early Career Population/Public Health Researcher,201811TL1,CIHR-IPPH Trailblazer Award in Population Health Solutions,CIHR-IPPH Trailblazer Award,"                 $12,500","                      $0","1 yr 0 mth "
"Abramovich, Alex",Centre for Addiction and Mental Health (Toronto),Project Grant,202203PJT,"Gender, Sex & Health",Identifying and Examining Health Outcomes and Healthcare Utilization Among Transgender Adolescents and Youth Accessing Gender-Affirming Care in Ontario: A Mixed-Methods Study,"                $401,626","                      $0","3 yrs 0 mth "
"Abrams, Howard B",University Health Network (Toronto),Planning and Dissemination Grant - Institute Community Support,201809PCS,Planning and Dissemination - IHSPR,Natural Occurring Retirement Communities (NORC) Symposium: Supporting Aging in Place,"                 $10,000","                      $0","1 yr 0 mth "
"AbuRaed, Ahmed G",University of British Columbia,Health System Impact Fellowships - PostDoc Western Canada 2-year,202203IF8,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Discourse on COVID-19 and illicit drug toxicity on social media,"                 $54,250","                      $0","2 yrs 0 mth "
